"","case_month","res_state","age_group","sex","race","ethnicity","n"
"61087","2021-04","FL","18 to 49 years","Male","Black","Unknown",102
"61088","2021-04","FL","18 to 49 years","Male","Black",NA,35
"61089","2021-04","FL","18 to 49 years","Male","Missing","Hispanic/Latino",28
"61090","2021-04","FL","18 to 49 years","Male","Missing","Missing",38
"61091","2021-04","FL","18 to 49 years","Male","Missing",NA,12
"61092","2021-04","FL","18 to 49 years","Male","Multiple/Other","Hispanic/Latino",93
"61093","2021-04","FL","18 to 49 years","Male","Multiple/Other","Non-Hispanic/Latino",516
"61094","2021-04","FL","18 to 49 years","Male","Multiple/Other","Unknown",128
"61095","2021-04","FL","18 to 49 years","Male","Multiple/Other",NA,532
"61096","2021-04","FL","18 to 49 years","Male","Unknown","Hispanic/Latino",761
"61097","2021-04","FL","18 to 49 years","Male","Unknown","Non-Hispanic/Latino",133
"61098","2021-04","FL","18 to 49 years","Male","Unknown","Unknown",1395
"61099","2021-04","FL","18 to 49 years","Male","Unknown",NA,52
"61100","2021-04","FL","18 to 49 years","Male","White","Hispanic/Latino",5433
"61101","2021-04","FL","18 to 49 years","Male","White","Missing",11
"61102","2021-04","FL","18 to 49 years","Male","White","Non-Hispanic/Latino",5808
"61103","2021-04","FL","18 to 49 years","Male","White","Unknown",635
"61104","2021-04","FL","18 to 49 years","Male","White",NA,54
"61105","2021-04","FL","18 to 49 years","Male",NA,NA,3164
"61106","2021-04","FL","18 to 49 years","Missing","Missing","Missing",209
"61107","2021-04","FL","18 to 49 years","Missing",NA,NA,11
"61108","2021-04","FL","18 to 49 years","Unknown","Unknown","Unknown",159
"61109","2021-04","FL","18 to 49 years","Unknown",NA,NA,57
"61110","2021-04","FL","18 to 49 years",NA,NA,NA,291
"61111","2021-04","FL","50 to 64 years","Female","Asian","Non-Hispanic/Latino",85
"61112","2021-04","FL","50 to 64 years","Female","Black","Hispanic/Latino",43
"61113","2021-04","FL","50 to 64 years","Female","Black","Non-Hispanic/Latino",818
"61114","2021-04","FL","50 to 64 years","Female","Black",NA,24
"61115","2021-04","FL","50 to 64 years","Female","Multiple/Other","Non-Hispanic/Latino",196
"61116","2021-04","FL","50 to 64 years","Female","Multiple/Other","Unknown",36
"61117","2021-04","FL","50 to 64 years","Female","Multiple/Other",NA,214
"61118","2021-04","FL","50 to 64 years","Female","Unknown","Hispanic/Latino",204
"61119","2021-04","FL","50 to 64 years","Female","Unknown","Non-Hispanic/Latino",21
"61120","2021-04","FL","50 to 64 years","Female","Unknown","Unknown",405
"61121","2021-04","FL","50 to 64 years","Female","Unknown",NA,41
"61122","2021-04","FL","50 to 64 years","Female","White","Hispanic/Latino",1920
"61123","2021-04","FL","50 to 64 years","Female","White","Non-Hispanic/Latino",2590
"61124","2021-04","FL","50 to 64 years","Female","White","Unknown",145
"61125","2021-04","FL","50 to 64 years","Female","White",NA,71
"61126","2021-04","FL","50 to 64 years","Female",NA,NA,1246
"61127","2021-04","FL","50 to 64 years","Male","Asian","Non-Hispanic/Latino",68
"61128","2021-04","FL","50 to 64 years","Male","Black","Hispanic/Latino",34
"61129","2021-04","FL","50 to 64 years","Male","Black","Non-Hispanic/Latino",562
"61130","2021-04","FL","50 to 64 years","Male","Black",NA,51
"61131","2021-04","FL","50 to 64 years","Male","Multiple/Other","Non-Hispanic/Latino",139
"61132","2021-04","FL","50 to 64 years","Male","Multiple/Other","Unknown",30
"61133","2021-04","FL","50 to 64 years","Male","Multiple/Other",NA,163
"61134","2021-04","FL","50 to 64 years","Male","Unknown","Hispanic/Latino",186
"61135","2021-04","FL","50 to 64 years","Male","Unknown","Unknown",352
"61136","2021-04","FL","50 to 64 years","Male","Unknown",NA,67
"61137","2021-04","FL","50 to 64 years","Male","White","Hispanic/Latino",1541
"61138","2021-04","FL","50 to 64 years","Male","White","Non-Hispanic/Latino",2565
"61139","2021-04","FL","50 to 64 years","Male","White","Unknown",168
"61140","2021-04","FL","50 to 64 years","Male","White",NA,82
"61141","2021-04","FL","50 to 64 years","Male",NA,NA,1206
"61142","2021-04","FL","50 to 64 years","Missing","Missing","Missing",46
"61143","2021-04","FL","50 to 64 years","Unknown","Unknown","Unknown",38
"61144","2021-04","FL","50 to 64 years",NA,NA,NA,174
"61145","2021-04","FL","65+ years","Female","Black","Hispanic/Latino",13
"61146","2021-04","FL","65+ years","Female","Black","Non-Hispanic/Latino",358
"61147","2021-04","FL","65+ years","Female","Black","Unknown",12
"61148","2021-04","FL","65+ years","Female","Multiple/Other","Non-Hispanic/Latino",46
"61149","2021-04","FL","65+ years","Female","Multiple/Other",NA,94
"61150","2021-04","FL","65+ years","Female","Unknown","Hispanic/Latino",52
"61151","2021-04","FL","65+ years","Female","Unknown","Unknown",140
"61152","2021-04","FL","65+ years","Female","Unknown",NA,49
"61153","2021-04","FL","65+ years","Female","White","Hispanic/Latino",820
"61154","2021-04","FL","65+ years","Female","White","Non-Hispanic/Latino",1420
"61155","2021-04","FL","65+ years","Female","White","Unknown",53
"61156","2021-04","FL","65+ years","Female","White",NA,62
"61157","2021-04","FL","65+ years","Female",NA,NA,741
"61158","2021-04","FL","65+ years","Male","Asian",NA,11
"61159","2021-04","FL","65+ years","Male","Black","Non-Hispanic/Latino",213
"61160","2021-04","FL","65+ years","Male","Black",NA,29
"61161","2021-04","FL","65+ years","Male","Multiple/Other","Non-Hispanic/Latino",45
"61162","2021-04","FL","65+ years","Male","Multiple/Other",NA,33
"61163","2021-04","FL","65+ years","Male","Unknown","Hispanic/Latino",29
"61164","2021-04","FL","65+ years","Male","Unknown","Unknown",88
"61165","2021-04","FL","65+ years","Male","White","Hispanic/Latino",471
"61166","2021-04","FL","65+ years","Male","White","Non-Hispanic/Latino",1327
"61167","2021-04","FL","65+ years","Male","White","Unknown",77
"61168","2021-04","FL","65+ years","Male","White",NA,39
"61169","2021-04","FL","65+ years","Male",NA,NA,611
"61170","2021-04","FL","65+ years",NA,NA,NA,261
"61171","2021-04","FL","Missing","Unknown","Unknown","Unknown",20
"61172","2021-04","FL","Missing",NA,NA,NA,37
"61173","2021-04","FL",NA,NA,NA,NA,823
"61174","2021-04","GA","0 - 17 years","Female","Asian",NA,12
"61175","2021-04","GA","0 - 17 years","Female","Black","Non-Hispanic/Latino",330
"61176","2021-04","GA","0 - 17 years","Female","Missing","Missing",42
"61177","2021-04","GA","0 - 17 years","Female","Missing",NA,55
"61178","2021-04","GA","0 - 17 years","Female","Unknown","Hispanic/Latino",11
"61179","2021-04","GA","0 - 17 years","Female","Unknown","Missing",617
"61180","2021-04","GA","0 - 17 years","Female","Unknown",NA,11
"61181","2021-04","GA","0 - 17 years","Female","White","Hispanic/Latino",12
"61182","2021-04","GA","0 - 17 years","Female","White","Non-Hispanic/Latino",208
"61183","2021-04","GA","0 - 17 years","Female","White",NA,34
"61184","2021-04","GA","0 - 17 years","Female",NA,NA,516
"61185","2021-04","GA","0 - 17 years","Male","Asian","Non-Hispanic/Latino",13
"61186","2021-04","GA","0 - 17 years","Male","Black","Non-Hispanic/Latino",274
"61187","2021-04","GA","0 - 17 years","Male","Black",NA,37
"61188","2021-04","GA","0 - 17 years","Male","Missing","Missing",29
"61189","2021-04","GA","0 - 17 years","Male","Missing","Non-Hispanic/Latino",11
"61190","2021-04","GA","0 - 17 years","Male","Missing",NA,51
"61191","2021-04","GA","0 - 17 years","Male","Unknown","Hispanic/Latino",19
"61192","2021-04","GA","0 - 17 years","Male","Unknown","Missing",572
"61193","2021-04","GA","0 - 17 years","Male","Unknown",NA,12
"61194","2021-04","GA","0 - 17 years","Male","White","Non-Hispanic/Latino",205
"61195","2021-04","GA","0 - 17 years","Male","White",NA,22
"61196","2021-04","GA","0 - 17 years","Male",NA,NA,541
"61197","2021-04","GA","0 - 17 years","Unknown","Unknown","Missing",30
"61198","2021-04","GA","0 - 17 years","Unknown",NA,NA,11
"61199","2021-04","GA","0 - 17 years",NA,NA,NA,259
"61200","2021-04","GA","18 to 49 years","Female","Asian","Non-Hispanic/Latino",143
"61201","2021-04","GA","18 to 49 years","Female","Asian",NA,12
"61202","2021-04","GA","18 to 49 years","Female","Black","Hispanic/Latino",12
"61203","2021-04","GA","18 to 49 years","Female","Black","Missing",145
"61204","2021-04","GA","18 to 49 years","Female","Black","Non-Hispanic/Latino",1997
"61205","2021-04","GA","18 to 49 years","Female","Black",NA,28
"61206","2021-04","GA","18 to 49 years","Female","Missing","Hispanic/Latino",71
"61207","2021-04","GA","18 to 49 years","Female","Missing","Missing",284
"61208","2021-04","GA","18 to 49 years","Female","Missing","Non-Hispanic/Latino",78
"61209","2021-04","GA","18 to 49 years","Female","Missing",NA,70
"61210","2021-04","GA","18 to 49 years","Female","Unknown","Hispanic/Latino",176
"61211","2021-04","GA","18 to 49 years","Female","Unknown","Missing",2704
"61212","2021-04","GA","18 to 49 years","Female","Unknown","Non-Hispanic/Latino",111
"61213","2021-04","GA","18 to 49 years","Female","Unknown",NA,32
"61214","2021-04","GA","18 to 49 years","Female","White","Hispanic/Latino",65
"61215","2021-04","GA","18 to 49 years","Female","White","Missing",122
"61216","2021-04","GA","18 to 49 years","Female","White","Non-Hispanic/Latino",1819
"61217","2021-04","GA","18 to 49 years","Female","White",NA,108
"61218","2021-04","GA","18 to 49 years","Female",NA,NA,931
"61219","2021-04","GA","18 to 49 years","Male","Asian","Non-Hispanic/Latino",153
"61220","2021-04","GA","18 to 49 years","Male","Black","Missing",114
"61221","2021-04","GA","18 to 49 years","Male","Black","Non-Hispanic/Latino",1201
"61222","2021-04","GA","18 to 49 years","Male","Black",NA,11
"61223","2021-04","GA","18 to 49 years","Male","Missing","Hispanic/Latino",38
"61224","2021-04","GA","18 to 49 years","Male","Missing","Missing",214
"61225","2021-04","GA","18 to 49 years","Male","Missing","Non-Hispanic/Latino",37
"61226","2021-04","GA","18 to 49 years","Male","Missing",NA,83
"61227","2021-04","GA","18 to 49 years","Male","Unknown","Hispanic/Latino",147
"61228","2021-04","GA","18 to 49 years","Male","Unknown","Missing",2301
"61229","2021-04","GA","18 to 49 years","Male","Unknown","Non-Hispanic/Latino",95
"61230","2021-04","GA","18 to 49 years","Male","Unknown",NA,119
"61231","2021-04","GA","18 to 49 years","Male","White","Hispanic/Latino",40
"61232","2021-04","GA","18 to 49 years","Male","White","Missing",143
"61233","2021-04","GA","18 to 49 years","Male","White","Non-Hispanic/Latino",1438
"61234","2021-04","GA","18 to 49 years","Male","White",NA,88
"61235","2021-04","GA","18 to 49 years","Male",NA,NA,804
"61236","2021-04","GA","18 to 49 years","Unknown","Unknown","Missing",423
"61237","2021-04","GA","18 to 49 years","Unknown",NA,NA,22
"61238","2021-04","GA","18 to 49 years",NA,NA,NA,400
"61239","2021-04","GA","50 to 64 years","Female","Asian","Non-Hispanic/Latino",15
"61240","2021-04","GA","50 to 64 years","Female","Black","Non-Hispanic/Latino",424
"61241","2021-04","GA","50 to 64 years","Female","Black",NA,11
"61242","2021-04","GA","50 to 64 years","Female","Missing","Hispanic/Latino",11
"61243","2021-04","GA","50 to 64 years","Female","Missing","Missing",60
"61244","2021-04","GA","50 to 64 years","Female","Missing",NA,11
"61245","2021-04","GA","50 to 64 years","Female","Unknown","Hispanic/Latino",15
"61246","2021-04","GA","50 to 64 years","Female","Unknown","Missing",586
"61247","2021-04","GA","50 to 64 years","Female","Unknown",NA,48
"61248","2021-04","GA","50 to 64 years","Female","White","Missing",25
"61249","2021-04","GA","50 to 64 years","Female","White","Non-Hispanic/Latino",513
"61250","2021-04","GA","50 to 64 years","Female","White",NA,101
"61251","2021-04","GA","50 to 64 years","Female",NA,NA,606
"61252","2021-04","GA","50 to 64 years","Male","Asian","Non-Hispanic/Latino",13
"61253","2021-04","GA","50 to 64 years","Male","Black","Non-Hispanic/Latino",299
"61254","2021-04","GA","50 to 64 years","Male","Missing","Missing",32
"61255","2021-04","GA","50 to 64 years","Male","Missing",NA,45
"61256","2021-04","GA","50 to 64 years","Male","Unknown","Hispanic/Latino",16
"61257","2021-04","GA","50 to 64 years","Male","Unknown","Missing",566
"61258","2021-04","GA","50 to 64 years","Male","Unknown",NA,61
"61259","2021-04","GA","50 to 64 years","Male","White","Missing",14
"61260","2021-04","GA","50 to 64 years","Male","White","Non-Hispanic/Latino",525
"61261","2021-04","GA","50 to 64 years","Male","White",NA,41
"61262","2021-04","GA","50 to 64 years","Male",NA,NA,497
"61263","2021-04","GA","50 to 64 years","Unknown","Unknown","Missing",63
"61264","2021-04","GA","50 to 64 years",NA,NA,NA,305
"61265","2021-04","GA","65+ years","Female","Black","Non-Hispanic/Latino",117
"61266","2021-04","GA","65+ years","Female","Black",NA,36
"61267","2021-04","GA","65+ years","Female","Unknown","Missing",173
"61268","2021-04","GA","65+ years","Female","Unknown",NA,13
"61269","2021-04","GA","65+ years","Female","White","Missing",11
"61270","2021-04","GA","65+ years","Female","White","Non-Hispanic/Latino",228
"61271","2021-04","GA","65+ years","Female","White",NA,13
"61272","2021-04","GA","65+ years","Female",NA,NA,298
"61273","2021-04","GA","65+ years","Male","Black","Non-Hispanic/Latino",65
"61274","2021-04","GA","65+ years","Male","Black",NA,13
"61275","2021-04","GA","65+ years","Male","Unknown","Missing",101
"61276","2021-04","GA","65+ years","Male","White","Non-Hispanic/Latino",202
"61277","2021-04","GA","65+ years","Male","White",NA,23
"61278","2021-04","GA","65+ years","Male",NA,NA,240
"61279","2021-04","GA","65+ years","Unknown","Unknown","Missing",50
"61280","2021-04","GA","65+ years",NA,NA,NA,219
"61281","2021-04","GA","Missing","Unknown","Unknown","Missing",11
"61282","2021-04","GA",NA,NA,NA,NA,1225
"61283","2021-04","GU","0 - 17 years","Female",NA,NA,12
"61284","2021-04","GU","18 to 49 years","Female","Asian","Non-Hispanic/Latino",15
"61285","2021-04","GU","18 to 49 years","Male","Asian","Non-Hispanic/Latino",19
"61286","2021-04","GU","18 to 49 years",NA,NA,NA,19
"61287","2021-04","GU","50 to 64 years",NA,NA,NA,16
"61288","2021-04","GU",NA,NA,NA,NA,14
"61289","2021-04","HI","0 - 17 years","Female","Asian","Non-Hispanic/Latino",26
"61290","2021-04","HI","0 - 17 years","Female","Asian",NA,11
"61291","2021-04","HI","0 - 17 years","Female","Multiple/Other","Non-Hispanic/Latino",13
"61292","2021-04","HI","0 - 17 years","Female","Multiple/Other",NA,24
"61293","2021-04","HI","0 - 17 years","Female",NA,NA,11
"61294","2021-04","HI","0 - 17 years","Male","Asian","Non-Hispanic/Latino",43
"61295","2021-04","HI","0 - 17 years","Male","Asian",NA,18
"61296","2021-04","HI","0 - 17 years","Male","Multiple/Other","Non-Hispanic/Latino",11
"61297","2021-04","HI","0 - 17 years","Male","Multiple/Other",NA,28
"61298","2021-04","HI","0 - 17 years","Male",NA,NA,17
"61299","2021-04","HI","0 - 17 years",NA,NA,NA,31
"61300","2021-04","HI","18 to 49 years","Female","Asian","Non-Hispanic/Latino",108
"61301","2021-04","HI","18 to 49 years","Female","Asian","Unknown",11
"61302","2021-04","HI","18 to 49 years","Female","Asian",NA,11
"61303","2021-04","HI","18 to 49 years","Female","Multiple/Other","Non-Hispanic/Latino",82
"61304","2021-04","HI","18 to 49 years","Female","Multiple/Other",NA,23
"61305","2021-04","HI","18 to 49 years","Female","Unknown","Unknown",15
"61306","2021-04","HI","18 to 49 years","Female","Unknown",NA,11
"61307","2021-04","HI","18 to 49 years","Female","White","Non-Hispanic/Latino",42
"61308","2021-04","HI","18 to 49 years","Female",NA,NA,43
"61309","2021-04","HI","18 to 49 years","Male","Asian","Non-Hispanic/Latino",128
"61310","2021-04","HI","18 to 49 years","Male","Asian",NA,11
"61311","2021-04","HI","18 to 49 years","Male","Multiple/Other","Hispanic/Latino",12
"61312","2021-04","HI","18 to 49 years","Male","Multiple/Other","Non-Hispanic/Latino",74
"61313","2021-04","HI","18 to 49 years","Male","Multiple/Other","Unknown",13
"61314","2021-04","HI","18 to 49 years","Male","Unknown","Unknown",16
"61315","2021-04","HI","18 to 49 years","Male","Unknown",NA,16
"61316","2021-04","HI","18 to 49 years","Male","White","Non-Hispanic/Latino",42
"61317","2021-04","HI","18 to 49 years","Male",NA,NA,72
"61318","2021-04","HI","50 to 64 years","Female","Asian","Non-Hispanic/Latino",34
"61319","2021-04","HI","50 to 64 years","Female","Asian",NA,13
"61320","2021-04","HI","50 to 64 years","Female","Multiple/Other",NA,13
"61321","2021-04","HI","50 to 64 years","Female",NA,NA,24
"61322","2021-04","HI","50 to 64 years","Male","Asian","Non-Hispanic/Latino",35
"61323","2021-04","HI","50 to 64 years","Male","Multiple/Other",NA,16
"61324","2021-04","HI","50 to 64 years","Male",NA,NA,55
"61325","2021-04","HI","50 to 64 years",NA,NA,NA,17
"61326","2021-04","HI","65+ years","Female","Asian","Non-Hispanic/Latino",15
"61327","2021-04","HI","65+ years","Female",NA,NA,29
"61328","2021-04","HI","65+ years","Male","Asian","Non-Hispanic/Latino",11
"61329","2021-04","HI","65+ years",NA,NA,NA,19
"61330","2021-04","HI",NA,NA,NA,NA,75
"61331","2021-04","IA","0 - 17 years","Female","Black","Non-Hispanic/Latino",34
"61332","2021-04","IA","0 - 17 years","Female","Black",NA,11
"61333","2021-04","IA","0 - 17 years","Female","Missing","Unknown",125
"61334","2021-04","IA","0 - 17 years","Female","Unknown",NA,16
"61335","2021-04","IA","0 - 17 years","Female","White","Non-Hispanic/Latino",183
"61336","2021-04","IA","0 - 17 years","Female","White","Unknown",11
"61337","2021-04","IA","0 - 17 years","Female","White",NA,25
"61338","2021-04","IA","0 - 17 years","Female",NA,NA,168
"61339","2021-04","IA","0 - 17 years","Male","Black","Non-Hispanic/Latino",31
"61340","2021-04","IA","0 - 17 years","Male","Missing","Unknown",121
"61341","2021-04","IA","0 - 17 years","Male","Unknown","Unknown",14
"61342","2021-04","IA","0 - 17 years","Male","Unknown",NA,14
"61343","2021-04","IA","0 - 17 years","Male","White","Non-Hispanic/Latino",167
"61344","2021-04","IA","0 - 17 years","Male","White","Unknown",30
"61345","2021-04","IA","0 - 17 years","Male","White",NA,24
"61346","2021-04","IA","0 - 17 years","Male",NA,NA,197
"61347","2021-04","IA","0 - 17 years",NA,NA,NA,59
"61348","2021-04","IA","18 to 49 years","Female","Asian","Non-Hispanic/Latino",12
"61349","2021-04","IA","18 to 49 years","Female","Black","Non-Hispanic/Latino",46
"61350","2021-04","IA","18 to 49 years","Female","Black",NA,11
"61351","2021-04","IA","18 to 49 years","Female","Missing","Hispanic/Latino",11
"61352","2021-04","IA","18 to 49 years","Female","Missing","Non-Hispanic/Latino",47
"61353","2021-04","IA","18 to 49 years","Female","Missing","Unknown",276
"61354","2021-04","IA","18 to 49 years","Female","Missing",NA,12
"61355","2021-04","IA","18 to 49 years","Female","Unknown","Unknown",11
"61356","2021-04","IA","18 to 49 years","Female","Unknown",NA,26
"61357","2021-04","IA","18 to 49 years","Female","White","Non-Hispanic/Latino",495
"61358","2021-04","IA","18 to 49 years","Female","White","Unknown",44
"61359","2021-04","IA","18 to 49 years","Female","White",NA,36
"61360","2021-04","IA","18 to 49 years","Female",NA,NA,209
"61361","2021-04","IA","18 to 49 years","Male","Asian","Non-Hispanic/Latino",14
"61362","2021-04","IA","18 to 49 years","Male","Black","Non-Hispanic/Latino",52
"61363","2021-04","IA","18 to 49 years","Male","Missing","Non-Hispanic/Latino",26
"61364","2021-04","IA","18 to 49 years","Male","Missing","Unknown",416
"61365","2021-04","IA","18 to 49 years","Male","Missing",NA,34
"61366","2021-04","IA","18 to 49 years","Male","Unknown","Unknown",27
"61367","2021-04","IA","18 to 49 years","Male","White","Non-Hispanic/Latino",524
"61368","2021-04","IA","18 to 49 years","Male","White","Unknown",100
"61369","2021-04","IA","18 to 49 years","Male","White",NA,41
"61370","2021-04","IA","18 to 49 years","Male",NA,NA,250
"61371","2021-04","IA","18 to 49 years","Unknown","Missing","Unknown",16
"61372","2021-04","IA","18 to 49 years",NA,NA,NA,214
"61373","2021-04","IA","50 to 64 years","Female","Missing","Unknown",118
"61374","2021-04","IA","50 to 64 years","Female","Missing",NA,23
"61375","2021-04","IA","50 to 64 years","Female","White","Non-Hispanic/Latino",154
"61376","2021-04","IA","50 to 64 years","Female","White","Unknown",21
"61377","2021-04","IA","50 to 64 years","Female","White",NA,60
"61378","2021-04","IA","50 to 64 years","Female",NA,NA,53
"61379","2021-04","IA","50 to 64 years","Male","Missing","Unknown",124
"61380","2021-04","IA","50 to 64 years","Male","Missing",NA,13
"61381","2021-04","IA","50 to 64 years","Male","White","Non-Hispanic/Latino",226
"61382","2021-04","IA","50 to 64 years","Male","White","Unknown",42
"61383","2021-04","IA","50 to 64 years","Male","White",NA,11
"61384","2021-04","IA","50 to 64 years","Male",NA,NA,91
"61385","2021-04","IA","50 to 64 years",NA,NA,NA,162
"61386","2021-04","IA","65+ years","Female","Missing","Unknown",12
"61387","2021-04","IA","65+ years","Female","White","Non-Hispanic/Latino",75
"61388","2021-04","IA","65+ years","Female",NA,NA,70
"61389","2021-04","IA","65+ years","Male","Missing","Unknown",11
"61390","2021-04","IA","65+ years","Male","White","Non-Hispanic/Latino",59
"61391","2021-04","IA","65+ years","Male","White","Unknown",11
"61392","2021-04","IA","65+ years","Male",NA,NA,23
"61393","2021-04","IA","65+ years",NA,NA,NA,65
"61394","2021-04","IA",NA,NA,NA,NA,435
"61395","2021-04","ID","0 - 17 years","Female","Missing","Missing",67
"61396","2021-04","ID","0 - 17 years","Female","Unknown","Unknown",41
"61397","2021-04","ID","0 - 17 years","Female","White","Missing",27
"61398","2021-04","ID","0 - 17 years","Female","White","Non-Hispanic/Latino",105
"61399","2021-04","ID","0 - 17 years","Female","White",NA,12
"61400","2021-04","ID","0 - 17 years","Female",NA,NA,95
"61401","2021-04","ID","0 - 17 years","Male","Missing","Missing",80
"61402","2021-04","ID","0 - 17 years","Male","Multiple/Other",NA,13
"61403","2021-04","ID","0 - 17 years","Male","Unknown","Unknown",37
"61404","2021-04","ID","0 - 17 years","Male","White","Missing",20
"61405","2021-04","ID","0 - 17 years","Male","White","Non-Hispanic/Latino",93
"61406","2021-04","ID","0 - 17 years","Male","White",NA,28
"61407","2021-04","ID","0 - 17 years","Male",NA,NA,45
"61408","2021-04","ID","0 - 17 years",NA,NA,NA,81
"61409","2021-04","ID","18 to 49 years","Female","Missing","Missing",175
"61410","2021-04","ID","18 to 49 years","Female","Multiple/Other","Hispanic/Latino",12
"61411","2021-04","ID","18 to 49 years","Female","Multiple/Other","Non-Hispanic/Latino",51
"61412","2021-04","ID","18 to 49 years","Female","Multiple/Other","Unknown",15
"61413","2021-04","ID","18 to 49 years","Female","Multiple/Other",NA,19
"61414","2021-04","ID","18 to 49 years","Female","Unknown","Unknown",178
"61415","2021-04","ID","18 to 49 years","Female","White","Hispanic/Latino",12
"61416","2021-04","ID","18 to 49 years","Female","White","Missing",88
"61417","2021-04","ID","18 to 49 years","Female","White","Non-Hispanic/Latino",781
"61418","2021-04","ID","18 to 49 years","Female","White","Unknown",16
"61419","2021-04","ID","18 to 49 years","Female","White",NA,42
"61420","2021-04","ID","18 to 49 years","Female",NA,NA,243
"61421","2021-04","ID","18 to 49 years","Male","Asian",NA,11
"61422","2021-04","ID","18 to 49 years","Male","Missing","Missing",178
"61423","2021-04","ID","18 to 49 years","Male","Multiple/Other","Missing",16
"61424","2021-04","ID","18 to 49 years","Male","Multiple/Other","Non-Hispanic/Latino",37
"61425","2021-04","ID","18 to 49 years","Male","Multiple/Other",NA,54
"61426","2021-04","ID","18 to 49 years","Male","Unknown","Unknown",147
"61427","2021-04","ID","18 to 49 years","Male","White","Hispanic/Latino",12
"61428","2021-04","ID","18 to 49 years","Male","White","Missing",73
"61429","2021-04","ID","18 to 49 years","Male","White","Non-Hispanic/Latino",600
"61430","2021-04","ID","18 to 49 years","Male","White","Unknown",18
"61431","2021-04","ID","18 to 49 years","Male","White",NA,39
"61432","2021-04","ID","18 to 49 years","Male",NA,NA,205
"61433","2021-04","ID","18 to 49 years",NA,NA,NA,132
"61434","2021-04","ID","50 to 64 years","Female","Missing","Missing",39
"61435","2021-04","ID","50 to 64 years","Female","Multiple/Other",NA,11
"61436","2021-04","ID","50 to 64 years","Female","Unknown","Unknown",36
"61437","2021-04","ID","50 to 64 years","Female","White","Missing",13
"61438","2021-04","ID","50 to 64 years","Female","White","Non-Hispanic/Latino",190
"61439","2021-04","ID","50 to 64 years","Female","White",NA,11
"61440","2021-04","ID","50 to 64 years","Female",NA,NA,90
"61441","2021-04","ID","50 to 64 years","Male","Missing","Missing",57
"61442","2021-04","ID","50 to 64 years","Male","Multiple/Other",NA,12
"61443","2021-04","ID","50 to 64 years","Male","Unknown","Unknown",28
"61444","2021-04","ID","50 to 64 years","Male","White","Missing",11
"61445","2021-04","ID","50 to 64 years","Male","White","Non-Hispanic/Latino",180
"61446","2021-04","ID","50 to 64 years","Male","White",NA,11
"61447","2021-04","ID","50 to 64 years","Male",NA,NA,79
"61448","2021-04","ID","50 to 64 years",NA,NA,NA,85
"61449","2021-04","ID","65+ years","Female","Missing","Missing",29
"61450","2021-04","ID","65+ years","Female","Unknown","Unknown",11
"61451","2021-04","ID","65+ years","Female","White","Non-Hispanic/Latino",97
"61452","2021-04","ID","65+ years","Female","White",NA,24
"61453","2021-04","ID","65+ years","Female",NA,NA,45
"61454","2021-04","ID","65+ years","Male","Missing","Missing",14
"61455","2021-04","ID","65+ years","Male","White","Non-Hispanic/Latino",80
"61456","2021-04","ID","65+ years","Male","White",NA,11
"61457","2021-04","ID","65+ years","Male",NA,NA,49
"61458","2021-04","ID","65+ years",NA,NA,NA,110
"61459","2021-04","ID",NA,NA,NA,NA,236
"61460","2021-04","IL","0 - 17 years","Female","Asian","Non-Hispanic/Latino",95
"61461","2021-04","IL","0 - 17 years","Female","Asian","Unknown",15
"61462","2021-04","IL","0 - 17 years","Female","Asian",NA,27
"61463","2021-04","IL","0 - 17 years","Female","Black","Hispanic/Latino",13
"61464","2021-04","IL","0 - 17 years","Female","Black","Non-Hispanic/Latino",823
"61465","2021-04","IL","0 - 17 years","Female","Black","Unknown",165
"61466","2021-04","IL","0 - 17 years","Female","Black",NA,85
"61467","2021-04","IL","0 - 17 years","Female","Missing","Hispanic/Latino",141
"61468","2021-04","IL","0 - 17 years","Female","Missing","Missing",32
"61469","2021-04","IL","0 - 17 years","Female","Missing","Non-Hispanic/Latino",18
"61470","2021-04","IL","0 - 17 years","Female","Missing","Unknown",901
"61471","2021-04","IL","0 - 17 years","Female","Missing",NA,22
"61472","2021-04","IL","0 - 17 years","Female","Multiple/Other","Non-Hispanic/Latino",116
"61473","2021-04","IL","0 - 17 years","Female","Multiple/Other",NA,109
"61474","2021-04","IL","0 - 17 years","Female","Unknown","Hispanic/Latino",51
"61475","2021-04","IL","0 - 17 years","Female","Unknown","Non-Hispanic/Latino",16
"61476","2021-04","IL","0 - 17 years","Female","Unknown","Unknown",389
"61477","2021-04","IL","0 - 17 years","Female","Unknown",NA,38
"61478","2021-04","IL","0 - 17 years","Female","White","Hispanic/Latino",430
"61479","2021-04","IL","0 - 17 years","Female","White","Non-Hispanic/Latino",2103
"61480","2021-04","IL","0 - 17 years","Female","White","Unknown",504
"61481","2021-04","IL","0 - 17 years","Female","White",NA,97
"61482","2021-04","IL","0 - 17 years","Female",NA,NA,959
"61483","2021-04","IL","0 - 17 years","Male","American Indian/Alaska Native",NA,13
"61484","2021-04","IL","0 - 17 years","Male","Asian","Non-Hispanic/Latino",130
"61485","2021-04","IL","0 - 17 years","Male","Asian","Unknown",26
"61486","2021-04","IL","0 - 17 years","Male","Asian",NA,12
"61487","2021-04","IL","0 - 17 years","Male","Black","Non-Hispanic/Latino",797
"61488","2021-04","IL","0 - 17 years","Male","Black","Unknown",177
